"site","year","sample_id","nest_id","lat","long"
"6thBridge","2021",88,9268,26.121575308111,-80.5418571761413
"6thBridge","2021",89,9335,26.1216135084143,-80.5417741101955
"6thBridge","2021",90,99677,26.1224850089275,-80.5408499940039
"6thBridge","2021",91,96866,26.1221749536119,-80.5412683323257
"6thBridge","2021",92,97172,26.1215899912815,-80.5410067612475
"6thBridge","2021",93,98389,26.1225304716196,-80.5416881153093
"6thBridge","2021",94,98722,26.1233155221243,-80.5414063188414
"6thBridge","2021",95,10871,26.1198062907384,-80.5386576319864
"AlleyNorth","2021",96,39615,26.1954072314229,-80.5287360888083
"AlleyNorth","2021",97,39343,26.1972846631024,-80.5287494154564
"AlleyNorth","2021",98,44343,26.198942594815,-80.5270508184387
"AlleyNorth","2021",99,44140,26.195949596011,-80.5272867886306
"AlleyNorth","2021",100,41161,26.1955865283302,-80.5282398003145
"AlleyNorth","2021",101,39406,26.1969246799784,-80.5287540682996
"AlleyNorth","2021",102,44620,26.1972090237764,-80.5271154939689
"AlleyNorth","2021",103,43263,26.198720206662,-80.5274365249922
"AlleyNorth","2021",104,44532,26.1978175855007,-80.5270841498998
"AlleyNorth","2021",105,39090,26.1959195074902,-80.5288972031228
"AlleyNorth","2021",106,2863,26.196512856287,-80.528934975508
"AlleyNorth","2021",107,2884,26.199123147285,-80.5287913075605
"AlleyNorth","2021",108,2894,26.1985188731267,-80.5288236477762
"AlleyNorth","2021",109,2787,26.1970991978207,-80.5290627039541
"AlleyNorth","2021",110,2941,26.1984952457605,-80.5286565120676
"AlleyNorth","2021",111,2937,26.1988954580271,-80.52851459056
"AlleyNorth","2021",112,2973,26.1968740800488,-80.5278517715493
"AlleyNorth","2021",113,2876,26.1992301776582,-80.5288089596772
"AlleyNorth","2021",114,2862,26.1965154526435,-80.5289001989302
"AlleyNorth","2021",115,2793,26.1964912602515,-80.5291171340518
"AlleyNorth","2021",116,37873,26.196846091169,-80.52926910482
"AlleyNorth","2021",117,37837,26.1972071307504,-80.5292634146486
"AlleyNorth","2021",118,2885,26.1991015959264,-80.5287466781382
"AlleyNorth","2021",119,38392,26.1970230059048,-80.5290095010369
"AlleyNorth","2021",120,37388,26.197025968018,-80.5294050254188
"AlleyNorth","2021",121,37420,26.1969534899453,-80.5293736864975
"AlleyNorth","2021",122,37410,26.196943198671,-80.5293570001881
"AlleyNorth","2021",123,38410,26.1968700960509,-80.5290855915226
"AlleyNorth","2021",124,37180,26.1966749343049,-80.529513883313
"AlleyNorth","2021",125,37876,26.1968301154086,-80.5292923662467
"AlleyNorth","2021",126,37386,26.1969636565282,-80.5293393472549
"AlleyNorth","2021",127,40021,26.1960418872536,-80.5286398826878
"AlleyNorth","2021",128,38819,26.1975795303968,-80.5289486804308
"AlleyNorth","2021",129,37904,26.1967275995688,-80.5292391787912
"AlleyNorth","2021",130,37758,26.1975472884341,-80.5292795734647
"AlleyNorth","2021",131,39772,26.1980709194111,-80.5286328409951
"AlleyNorth","2021",132,37864,26.1970861530714,-80.5293012424216
"AlleyNorth","2021",133,41114,26.1958744237987,-80.5283210913181
"AlleyNorth","2021",134,37662,26.1983195622532,-80.529295148908
"AlleyNorth","2021",135,37509,26.1964919324849,-80.5293295160751
"AlleyNorth","2021",136,2843,26.1972515193224,-80.5288840228328
"AlleyNorth","2021",137,2877,26.1991886479015,-80.5287855789293
"AlleyNorth","2021",138,2917,26.1967452221483,-80.5288370602061
"AlleyNorth","2021",139,2960,26.1975174570159,-80.5282685960081
"AlleyNorth","2021",140,2880,26.1990753100346,-80.5287435163093
"AlleyNorth","2021",141,2902,26.1971451627147,-80.5287171696494
"AlleyNorth","2021",142,2905,26.1971577707453,-80.5287455267693
"AlleyNorth","2021",143,2817,26.1973396604031,-80.528923385759
"AlleyNorth","2021",144,2898,26.1975064125754,-80.5288392873237
